"Data.Precipitation","Date.Full","Date.Month","Date.Week of","Date.Year","Station.City","Station.Code","Station.Location","Station.State","Data.Temperature.Avg Temp","Data.Temperature.Max Temp","Data.Temperature.Min Temp","Data.Wind.Direction","Data.Wind.Speed"
"0.0","2016-01-03","1","3","2016","Birmingham","BHM","Birmingham, AL","Alabama","39","46","32","33","4.33"
"0.0","2016-01-04","1","3","2016","Huntsville","HSV","Huntsville, AL","Alabama","39","47","31","32","3.86"
"0.16","2016-01-05","1","3","2016","Mobile","MOB","Mobile, AL","Alabama","46","51","41","35","9.73"
"0.0","2016-01-06","1","3","2016","Montgomery","MGM","Montgomery, AL","Alabama","45","52","38","32","6.86"
"0.01","2016-01-08","1","3","2016","Anchorage","ANC","Anchorage, AK","Alaska","34","38","29","19","7.8"
"0.09","2016-01-09","1","3","2016","Annette","ANN","Annette, AK","Alaska","38","44","31","9","8.7"
"0.05","2016-01-10","1","3","2016","Bethel","BET","Bethel, AK","Alaska","30","36","24","9","16.46"
"0.15","2016-01-11","1","3","2016","Bettles","BTT","Bettles, AK","Alaska","22","32","9","2","3.1"
"0.6","2016-01-12","1","3","2016","Cold Bay","CDB","Cold Bay, AK","Alaska","34","36","31","20","9.1"
"2.15","2016-01-14","1","3","2016","Cordova","CDV","Cordova, AK","Alaska","38","43","33","9","9.76"
"0.0","2016-01-15","1","3","2016","Delta Junction/Ft Greely","BIG","Delta Junction/Ft Greely, AK","Alaska","31","39","23","14","17.9"
"0.0","2016-01-16","1","3","2016","Fairbanks","FAI","Fairbanks, AK","Alaska","14","30","4","2","2.2"
"0.02","2016-01-17","1","3","2016","Gulkana","GKN","Gulkana, AK","Alaska","27","34","19","14","8.23"
"1.22","2016-01-18","1","3","2016","Homer","HOM","Homer, AK","Alaska","39","42","35","9","11.26"
"0.0","2016-01-19","1","3","2016","Iliamna","ILI","Iliamna, AK","Alaska","40","42","37","9","19.76"
"0.7","2016-01-20","1","3","2016","Juneau","JNU","Juneau, AK","Alaska","36","40","31","10","9.23"
"0.14","2016-01-21","1","3","2016","Kenai","ENA","Kenai, AK","Alaska","34","37","30","6","11.2"
"0.17","2016-01-22","1","3","2016","Ketchikan","KTN","Ketchikan, AK","Alaska","37","41","33","15","6.16"
"0.05","2016-01-23","1","3","2016","King Salmon","AKN","King Salmon, AK","Alaska","39","42","35","10","18.83"
"1.3","2016-01-24","1","3","2016","Kodiak","ADQ","Kodiak, AK","Alaska","40","42","36","11","21.8"
